Date,Ticker,Bank_Name,Open_Price,High_Price,Low_Price,Close_Price,Volume
2021-01-04,SF,Stifel Financial,33.93333435058594,34.106666564941406,32.266666412353516,32.63999938964844,1049550
2021-01-05,SF,Stifel Financial,31.953332901000977,32.880001068115234,31.81333351135254,32.51333236694336,1011150
2021-01-06,SF,Stifel Financial,33.27333450317383,35.20000076293945,33.09333419799805,34.606666564941406,1276800
2021-01-07,SF,Stifel Financial,34.973331451416016,35.48666763305664,34.7599983215332,35.133331298828125,831750
2021-01-08,SF,Stifel Financial,35.40666580200195,35.40666580200195,34.20000076293945,34.900001525878906,666750
2021-01-11,SF,Stifel Financial,34.380001068115234,35.186668395996094,34.380001068115234,35.086666107177734,590550
2021-01-12,SF,Stifel Financial,35.32666778564453,35.59333419799805,35.12666702270508,35.49333190917969,650700
2021-01-13,SF,Stifel Financial,35.13999938964844,35.13999938964844,33.813331604003906,34.31999969482422,1126050
2021-01-14,SF,Stifel Financial,34.573333740234375,34.706668853759766,34.206668853759766,34.45333480834961,834150
2021-01-15,SF,Stifel Financial,34.45333480834961,35.08000183105469,33.633331298828125,34.766666412353516,988050
2021-01-19,SF,Stifel Financial,35.0,35.2599983215332,34.313331604003906,35.16666793823242,832950
2021-01-20,SF,Stifel Financial,35.186668395996094,35.80666732788086,34.96666717529297,35.633331298828125,928050
2021-01-21,SF,Stifel Financial,35.64666748046875,35.900001525878906,35.27333450317383,35.279998779296875,1030800
2021-01-22,SF,Stifel Financial,34.72666549682617,34.959999084472656,34.2599983215332,34.85333251953125,623250
2021-01-25,SF,Stifel Financial,34.34000015258789,34.880001068115234,33.939998626708984,34.82666778564453,841350
2021-01-26,SF,Stifel Financial,35.02000045776367,35.02000045776367,34.220001220703125,34.32666778564453,713700
2021-01-27,SF,Stifel Financial,33.5,34.233333587646484,32.91999816894531,33.35333251953125,1140600
2021-01-28,SF,Stifel Financial,33.866668701171875,35.073333740234375,33.720001220703125,34.753334045410156,1979550
2021-01-29,SF,Stifel Financial,35.93333435058594,36.32666778564453,34.16666793823242,34.54666519165039,2109600
2021-02-01,SF,Stifel Financial,34.88666534423828,35.45333480834961,34.246665954589844,35.266666412353516,1494900
2021-02-02,SF,Stifel Financial,35.880001068115234,36.33333206176758,35.56666564941406,35.706668853759766,836700
2021-02-03,SF,Stifel Financial,35.43333435058594,36.099998474121094,35.3466682434082,35.40666580200195,914400
2021-02-04,SF,Stifel Financial,35.62666702270508,36.293331146240234,35.439998626708984,36.06666564941406,634800
2021-02-05,SF,Stifel Financial,36.51333236694336,36.866668701171875,35.8466682434082,36.793331146240234,638400
2021-02-08,SF,Stifel Financial,36.93333435058594,37.246665954589844,36.65999984741211,37.22666549682617,408900
2021-02-09,SF,Stifel Financial,37.13999938964844,37.50666809082031,36.619998931884766,37.35333251953125,724800
2021-02-10,SF,Stifel Financial,37.49333190917969,37.91999816894531,37.1533317565918,37.779998779296875,749250
2021-02-11,SF,Stifel Financial,37.80666732788086,38.45333480834961,37.50666809082031,38.413333892822266,972600
2021-02-12,SF,Stifel Financial,38.439998626708984,39.206668853759766,38.28666687011719,38.973331451416016,727350
2021-02-16,SF,Stifel Financial,39.33333206176758,39.45333480834961,38.67333221435547,39.16666793823242,1347600
2021-02-17,SF,Stifel Financial,38.85333251953125,39.16666793823242,38.5533332824707,38.5533332824707,986850
2021-02-18,SF,Stifel Financial,38.393333435058594,38.66666793823242,37.87333297729492,38.32666778564453,699600
2021-02-19,SF,Stifel Financial,38.426666259765625,39.4466667175293,38.366668701171875,39.439998626708984,989550
