Date,Ticker,Bank_Name,Open_Price,High_Price,Low_Price,Close_Price,Volume
2021-01-04,MC,Moelis & Company,47.31999969482422,47.31999969482422,45.380001068115234,45.93000030517578,324400
2021-01-05,MC,Moelis & Company,46.86000061035156,47.224998474121094,46.220001220703125,46.2400016784668,443000
2021-01-06,MC,Moelis & Company,47.11000061035156,50.279998779296875,46.7400016784668,49.83000183105469,843700
2021-01-07,MC,Moelis & Company,51.130001068115234,52.290000915527344,50.54999923706055,51.810001373291016,544700
2021-01-08,MC,Moelis & Company,51.970001220703125,52.470001220703125,50.41999816894531,51.310001373291016,412000
2021-01-11,MC,Moelis & Company,51.04999923706055,52.63999938964844,51.04999923706055,52.33000183105469,416500
2021-01-12,MC,Moelis & Company,52.79999923706055,53.86000061035156,52.18000030517578,52.90999984741211,558200
2021-01-13,MC,Moelis & Company,52.70000076293945,53.27000045776367,52.130001068115234,53.04999923706055,268200
2021-01-14,MC,Moelis & Company,53.54999923706055,55.290000915527344,53.32500076293945,54.4900016784668,400000
2021-01-15,MC,Moelis & Company,53.68000030517578,55.279998779296875,53.349998474121094,55.189998626708984,420500
2021-01-19,MC,Moelis & Company,55.369998931884766,55.959999084472656,54.5099983215332,55.029998779296875,503100
2021-01-20,MC,Moelis & Company,55.040000915527344,56.0,53.70500183105469,55.04999923706055,458400
2021-01-21,MC,Moelis & Company,55.16999816894531,55.59000015258789,53.880001068115234,54.25,283800
2021-01-22,MC,Moelis & Company,53.630001068115234,54.560001373291016,53.41999816894531,54.47999954223633,270500
2021-01-25,MC,Moelis & Company,54.040000915527344,54.810001373291016,53.029998779296875,53.310001373291016,450500
2021-01-26,MC,Moelis & Company,53.689998626708984,53.88999938964844,51.279998779296875,51.45000076293945,404700
2021-01-27,MC,Moelis & Company,50.41999816894531,50.779998779296875,48.7599983215332,49.369998931884766,688200
2021-01-28,MC,Moelis & Company,49.93000030517578,51.81999969482422,49.63999938964844,51.189998626708984,480400
2021-01-29,MC,Moelis & Company,51.099998474121094,51.130001068115234,48.9900016784668,49.709999084472656,341000
