Date,Ticker,Bank_Name,Open_Price,High_Price,Low_Price,Close_Price,Volume
2021-01-04,JEF,Jefferies Financial Group,23.843212127685547,24.206501007080078,23.43212127685547,23.72848892211914,2970535
2021-01-05,JEF,Jefferies Financial Group,24.47418785095215,25.07648277282715,23.642446517944336,23.824092864990234,2748574
2021-01-06,JEF,Jefferies Financial Group,24.588909149169922,25.564054489135742,24.273422241210938,25.17208480834961,3585165
2021-01-07,JEF,Jefferies Financial Group,25.554492950439453,25.583173751831055,24.942638397216797,25.009559631347656,2790310
2021-01-08,JEF,Jefferies Financial Group,25.229446411132812,25.286806106567383,24.89483642578125,25.229446411132812,2007483
2021-01-11,JEF,Jefferies Financial Group,24.885276794433594,25.688337326049805,24.875717163085938,25.59273338317871,1481450
2021-01-12,JEF,Jefferies Financial Group,25.77437973022461,25.86998176574707,25.36328887939453,25.478010177612305,1310010
2021-01-13,JEF,Jefferies Financial Group,25.33460807800293,25.611854553222656,25.296367645263672,25.43021011352539,1454254
2021-01-14,JEF,Jefferies Financial Group,25.621414184570312,25.77437973022461,25.191204071044922,25.229446411132812,1239196
2021-01-15,JEF,Jefferies Financial Group,24.92351722717285,25.181644439697266,24.445507049560547,25.009559631347656,1308964
2021-01-19,JEF,Jefferies Financial Group,25.086042404174805,25.17208480834961,24.47418785095215,24.694072723388672,1610526
2021-01-20,JEF,Jefferies Financial Group,24.713193893432617,24.789674758911133,24.416826248168945,24.73231315612793,1085853
2021-01-21,JEF,Jefferies Financial Group,24.789674758911133,24.92351722717285,24.541109085083008,24.550668716430664,1096626
2021-01-22,JEF,Jefferies Financial Group,24.30210304260254,24.47418785095215,23.72848892211914,23.99617576599121,2076310
2021-01-25,JEF,Jefferies Financial Group,23.747610092163086,23.938814163208008,22.8011474609375,23.451242446899414,2083004
2021-01-26,JEF,Jefferies Financial Group,23.575525283813477,23.594646453857422,23.173995971679688,23.221797943115234,2406532
2021-01-27,JEF,Jefferies Financial Group,22.753345489501953,22.8011474609375,21.86424446105957,22.10325050354004,1887507
2021-01-28,JEF,Jefferies Financial Group,22.27533531188965,23.011472702026367,22.141490936279297,22.839387893676758,2735813
2021-01-29,JEF,Jefferies Financial Group,22.62906265258789,22.973230361938477,22.29445457458496,22.323135375976562,3563931
2021-02-01,JEF,Jefferies Financial Group,22.590822219848633,23.021032333374023,22.43785858154297,23.021032333374023,3221889
2021-02-02,JEF,Jefferies Financial Group,23.29827880859375,23.47036361694336,23.049713134765625,23.288719177246094,5571205
2021-02-03,JEF,Jefferies Financial Group,23.3747615814209,23.824092864990234,23.145315170288086,23.546844482421875,4796224
2021-02-04,JEF,Jefferies Financial Group,23.776290893554688,24.349903106689453,23.72848892211914,24.206501007080078,5217343
2021-02-05,JEF,Jefferies Financial Group,24.282983779907227,24.82791519165039,24.282983779907227,24.388145446777344,4480332
2021-02-08,JEF,Jefferies Financial Group,24.47418785095215,25.640535354614258,24.47418785095215,25.5736141204834,5297258
2021-02-09,JEF,Jefferies Financial Group,25.5736141204834,25.793498992919922,25.0,25.621414184570312,2287602
2021-02-10,JEF,Jefferies Financial Group,25.946462631225586,26.60611915588379,25.688337326049805,26.52963638305664,3420315
2021-02-11,JEF,Jefferies Financial Group,26.376672744750977,27.323135375976562,26.290630340576172,27.284894943237305,4836913
2021-02-12,JEF,Jefferies Financial Group,27.189292907714844,27.73422622680664,26.892925262451172,27.60038185119629,3311427
2021-02-16,JEF,Jefferies Financial Group,27.86806869506836,28.04015350341797,27.619503021240234,27.782026290893555,3653678
2021-02-17,JEF,Jefferies Financial Group,27.552581787109375,27.571701049804688,26.93116569519043,27.1701717376709,3001602
2021-02-18,JEF,Jefferies Financial Group,27.03632926940918,27.60038185119629,26.845123291015625,27.055448532104492,2164174
2021-02-19,JEF,Jefferies Financial Group,27.342256546020508,27.839387893676758,27.29445457458496,27.638622283935547,3313205
2021-02-22,JEF,Jefferies Financial Group,27.657743453979492,28.23135757446289,27.571701049804688,27.925430297851562,1927360
2021-02-23,JEF,Jefferies Financial Group,27.96367073059082,28.107074737548828,27.361377716064453,27.70554542541504,1621928
2021-02-24,JEF,Jefferies Financial Group,28.001911163330078,28.957935333251953,27.906309127807617,28.79541015625,3357137
2021-02-25,JEF,Jefferies Financial Group,28.87189292907715,29.053537368774414,27.944551467895508,27.96367073059082,1368900
2021-02-26,JEF,Jefferies Financial Group,28.049713134765625,28.126195907592773,27.495220184326172,27.76290512084961,2080808
2021-03-01,JEF,Jefferies Financial Group,28.43212127685547,29.13957977294922,28.307838439941406,28.680688858032227,2807464
2021-03-02,JEF,Jefferies Financial Group,28.680688858032227,28.92925453186035,28.489484786987305,28.585086822509766,1637618
2021-03-03,JEF,Jefferies Financial Group,28.7667293548584,29.74187469482422,28.73805046081543,29.30210304260254,2995221
2021-03-04,JEF,Jefferies Financial Group,29.196941375732422,29.321224212646484,27.93498992919922,28.422561645507812,3639348
2021-03-05,JEF,Jefferies Financial Group,29.063098907470703,29.244741439819336,27.848947525024414,29.187379837036133,1778828
2021-03-08,JEF,Jefferies Financial Group,29.49330711364746,30.458890914916992,29.483747482299805,30.277246475219727,2713010
2021-03-09,JEF,Jefferies Financial Group,29.961759567260742,30.822179794311523,29.789674758911133,30.286806106567383,3558806
2021-03-10,JEF,Jefferies Financial Group,30.33460807800293,30.688337326049805,30.277246475219727,30.611854553222656,1281455
2021-03-11,JEF,Jefferies Financial Group,30.458890914916992,30.86998176574707,30.353727340698242,30.688337326049805,1502788
2021-03-12,JEF,Jefferies Financial Group,31.00382423400879,31.6252384185791,30.793498992919922,31.6252384185791,1817111
2021-03-15,JEF,Jefferies Financial Group,31.615678787231445,31.759082794189453,30.956022262573242,31.548757553100586,1796714
2021-03-16,JEF,Jefferies Financial Group,31.558317184448242,32.03632736206055,31.472274780273438,31.892925262451172,2267414
2021-03-17,JEF,Jefferies Financial Group,32.122371673583984,32.78202819824219,31.491395950317383,32.77246856689453,1575171
2021-03-18,JEF,Jefferies Financial Group,33.087955474853516,33.326961517333984,31.93116569519043,32.1988525390625,2401198
2021-03-19,JEF,Jefferies Financial Group,32.084129333496094,32.60038375854492,31.281070709228516,32.2562141418457,3800327
2021-03-22,JEF,Jefferies Financial Group,32.11281204223633,32.50477981567383,31.806882858276367,32.418739318847656,1654249
2021-03-23,JEF,Jefferies Financial Group,32.16061019897461,32.523902893066406,31.386232376098633,31.46271514892578,1990538
2021-03-24,JEF,Jefferies Financial Group,31.83556365966797,32.23709487915039,31.089866638183594,31.09942626953125,1438145
2021-03-25,JEF,Jefferies Financial Group,31.156787872314453,31.548757553100586,29.13957977294922,30.181644439697266,3867690
2021-03-26,JEF,Jefferies Financial Group,30.49713134765625,30.640535354614258,28.862333297729492,29.73231315612793,4460876
2021-03-29,JEF,Jefferies Financial Group,29.397705078125,29.63671112060547,28.690248489379883,28.948375701904297,3758906
2021-03-30,JEF,Jefferies Financial Group,29.13957977294922,29.789674758911133,29.101337432861328,29.66539192199707,3523033
2021-03-31,JEF,Jefferies Financial Group,29.521989822387695,29.789674758911133,28.747610092163086,28.776290893554688,3045324
2021-04-01,JEF,Jefferies Financial Group,29.110898971557617,29.340343475341797,28.824092864990234,29.053537368774414,2853488
2021-04-05,JEF,Jefferies Financial Group,29.30210304260254,29.541109085083008,28.814531326293945,29.005735397338867,2166789
2021-04-06,JEF,Jefferies Financial Group,28.977054595947266,29.512428283691406,28.92925453186035,29.091777801513672,2281326
2021-04-07,JEF,Jefferies Financial Group,29.091777801513672,30.0,29.015296936035156,29.961759567260742,2666882
2021-04-08,JEF,Jefferies Financial Group,29.66539192199707,29.74187469482422,29.063098907470703,29.608030319213867,2390110
