Date,Ticker,Bank_Name,Open_Price,High_Price,Low_Price,Close_Price,Volume
2021-01-04,EVR,Evercore,110.05999755859375,110.77999877929688,107.12999725341797,108.08000183105469,247800
2021-01-05,EVR,Evercore,107.69000244140625,110.7699966430664,107.68000030517578,109.2699966430664,473800
2021-01-06,EVR,Evercore,111.5,116.7300033569336,110.54000091552734,116.29000091552734,483900
2021-01-07,EVR,Evercore,117.13999938964844,120.62999725341797,117.01000213623047,119.0,426100
2021-01-08,EVR,Evercore,119.27999877929688,119.5,114.41000366210938,115.94000244140625,393200
2021-01-11,EVR,Evercore,115.16000366210938,116.68000030517578,114.30000305175781,116.16999816894531,280600
2021-01-12,EVR,Evercore,117.36000061035156,120.06999969482422,117.0,119.06999969482422,315600
2021-01-13,EVR,Evercore,119.33999633789062,119.80999755859375,115.66999816894531,117.27999877929688,395100
2021-01-14,EVR,Evercore,118.58000183105469,118.94000244140625,117.36000061035156,118.08999633789062,390100
2021-01-15,EVR,Evercore,116.41999816894531,119.44000244140625,115.83000183105469,118.7699966430664,323000
2021-01-19,EVR,Evercore,119.41000366210938,121.23999786376953,118.75,120.47000122070312,286100
2021-01-20,EVR,Evercore,120.87999725341797,121.45999908447266,117.97000122070312,118.5199966430664,360500
2021-01-21,EVR,Evercore,118.5199966430664,119.0999984741211,114.5999984741211,114.83000183105469,306700
2021-01-22,EVR,Evercore,113.68000030517578,115.18000030517578,113.0999984741211,114.55999755859375,225400
2021-01-25,EVR,Evercore,114.05000305175781,114.83000183105469,111.16000366210938,112.98999786376953,444200
2021-01-26,EVR,Evercore,113.98999786376953,114.05000305175781,108.80999755859375,109.2300033569336,443600
2021-01-27,EVR,Evercore,107.13999938964844,107.5,103.5,106.56999969482422,590800
2021-01-28,EVR,Evercore,108.4800033569336,112.18000030517578,107.66000366210938,111.55999755859375,603800
2021-01-29,EVR,Evercore,111.38999938964844,112.02999877929688,107.87000274658203,109.0999984741211,499400
2021-02-01,EVR,Evercore,109.62000274658203,113.0199966430664,109.02999877929688,112.80999755859375,807100
2021-02-02,EVR,Evercore,114.95999908447266,116.58000183105469,114.02999877929688,114.5199966430664,407500
2021-02-03,EVR,Evercore,125.0,126.58000183105469,118.25,119.1500015258789,912500
2021-02-04,EVR,Evercore,119.0,119.55000305175781,113.97000122070312,115.4800033569336,690900
2021-02-05,EVR,Evercore,116.5,117.37000274658203,114.6500015258789,114.80999755859375,486100
2021-02-08,EVR,Evercore,108.75,117.97000122070312,108.19000244140625,117.26000213623047,994000
2021-02-09,EVR,Evercore,116.30999755859375,116.91999816894531,113.48999786376953,116.5,488600
2021-02-10,EVR,Evercore,115.98999786376953,118.25,115.55999755859375,116.91000366210938,463500
2021-02-11,EVR,Evercore,118.0,118.94000244140625,115.44999694824219,118.91999816894531,419100
